fo250210_testNoCapa De-Embedded l1=5.0
Frequency GHz, DB[S11]
5.077,-6.84908e-008
5.078,-6.91686e-008
5.079,-6.98442e-008
5.08,-7.05177e-008
5.081,-7.1189e-008
5.082,-7.18582e-008
5.083,-7.25253e-008
5.084,-7.31902e-008
5.085,-7.38529e-008
5.086,-7.45135e-008
5.087,-7.51719e-008
5.088,-7.58282e-008
5.089,-7.64824e-008
5.09,-7.71344e-008
5.091,-7.77843e-008
5.092,-7.84321e-008
5.093,-7.90777e-008
5.094,-7.97212e-008
5.095,-8.03626e-008
5.096,-8.10018e-008
5.097,-8.1639e-008
5.098,-8.2274e-008
5.099,-8.29069e-008
5.1,-8.35376e-008
5.101,-8.41663e-008
5.102,-8.47928e-008
5.103,-8.54173e-008
5.104,-8.60396e-008
5.105,-8.66598e-008
5.106,-8.72779e-008
5.107,-8.78939e-008
5.108,-8.85078e-008
5.109,-8.91196e-008
5.11,-8.97293e-008
5.111,-9.03369e-008
5.112,-9.09424e-008
5.113,-9.15458e-008
5.114,-9.21471e-008
5.115,-9.27464e-008
5.116,-9.33435e-008
5.117,-9.39386e-008
5.118,-9.45316e-008
5.119,-9.51225e-008
5.12,-9.57113e-008
5.121,-9.62981e-008
5.122,-9.68827e-008
5.123,-9.74654e-008
5.124,-9.80459e-008
5.125,-9.86244e-008
5.126,-9.92008e-008
5.127,-9.97751e-008
5.128,-1.00347e-007
5.129,-1.00918e-007
5.13,-1.01486e-007
5.131,-1.02052e-007
5.132,-1.02616e-007
5.133,-1.03178e-007
5.134,-1.03738e-007
5.135,-1.04296e-007
5.136,-1.04852e-007
5.137,-1.05405e-007
5.138,-1.05957e-007
5.139,-1.06507e-007
5.14,-1.07055e-007
5.141,-1.076e-007
5.142,-1.08144e-007
5.143,-1.08685e-007
5.144,-1.09225e-007
5.145,-1.09762e-007
5.146,-1.10298e-007
5.147,-1.10831e-007
5.148,-1.11363e-007
5.149,-1.11892e-007
5.15,-1.1242e-007
5.151,-1.12945e-007
5.152,-1.13468e-007
5.153,-1.1399e-007
5.154,-1.14509e-007
5.155,-1.15026e-007
5.156,-1.15542e-007
5.157,-1.16055e-007
5.158,-1.16566e-007
5.159,-1.17076e-007
5.16,-1.17583e-007
5.161,-1.18088e-007
5.162,-1.18592e-007
5.163,-1.19093e-007
5.164,-1.19592e-007
5.165,-1.2009e-007
5.166,-1.20585e-007
5.167,-1.21079e-007
5.168,-1.2157e-007
5.169,-1.22059e-007
5.17,-1.22547e-007
5.171,-1.23032e-007
5.172,-1.23516e-007
5.173,-1.23997e-007
5.174,-1.24477e-007
5.175,-1.24955e-007
5.176,-1.2543e-007
5.177,-1.25904e-007
5.178,-1.26375e-007
5.179,-1.26845e-007
5.18,-1.27313e-007
5.181,-1.27779e-007
5.182,-1.28243e-007
5.183,-1.28705e-007
5.184,-1.29165e-007
5.185,-1.29623e-007
5.186,-1.30079e-007
5.187,-1.30533e-007
5.188,-1.30985e-007
5.189,-1.31435e-007
5.19,-1.31883e-007
5.191,-1.3233e-007
5.192,-1.32774e-007
5.193,-1.33217e-007
5.194,-1.33657e-007
5.195,-1.34096e-007
5.196,-1.34533e-007
5.197,-1.34967e-007
5.198,-1.354e-007
5.199,-1.35831e-007
5.2,-1.3626e-007
5.201,-1.36687e-007
5.202,-1.37112e-007
5.203,-1.37536e-007
5.204,-1.37957e-007
5.205,-1.38377e-007
5.206,-1.38794e-007
5.207,-1.3921e-007
5.208,-1.39624e-007
5.209,-1.40035e-007
5.21,-1.40445e-007
5.211,-1.40853e-007
5.212,-1.4126e-007
5.213,-1.41664e-007
5.214,-1.42066e-007
5.215,-1.42467e-007
5.216,-1.42865e-007
5.217,-1.43262e-007
5.218,-1.43657e-007
5.219,-1.4405e-007
5.22,-1.44441e-007
5.221,-1.4483e-007
5.222,-1.45217e-007
5.223,-1.45603e-007
5.224,-1.45986e-007
5.225,-1.46368e-007
5.226,-1.46748e-007
5.227,-1.47126e-007
5.228,-1.47502e-007
5.229,-1.47876e-007
5.23,-1.48249e-007
5.231,-1.48619e-007
5.232,-1.48988e-007
5.233,-1.49355e-007
5.234,-1.4972e-007
5.235,-1.50083e-007
5.236,-1.50444e-007
5.237,-1.50804e-007
5.238,-1.51161e-007
5.239,-1.51517e-007
5.24,-1.51871e-007
5.241,-1.52223e-007
5.242,-1.52573e-007
5.243,-1.52922e-007
5.244,-1.53269e-007
5.245,-1.53613e-007
5.246,-1.53956e-007
5.247,-1.54297e-007
5.248,-1.54637e-007
5.249,-1.54974e-007
5.25,-1.5531e-007
5.251,-1.55644e-007
5.252,-1.55976e-007
5.253,-1.56306e-007
5.254,-1.56634e-007
5.255,-1.56961e-007
5.256,-1.57286e-007
5.257,-1.57609e-007
5.258,-1.5793e-007
5.259,-1.5825e-007
5.26,-1.58567e-007
5.261,-1.58883e-007
5.262,-1.59197e-007
5.263,-1.59509e-007
5.264,-1.5982e-007
5.265,-1.60128e-007
5.266,-1.60435e-007
5.267,-1.6074e-007
5.268,-1.61044e-007
5.269,-1.61345e-007
5.27,-1.61645e-007
5.271,-1.61943e-007
5.272,-1.62239e-007
5.273,-1.62534e-007
5.274,-1.62826e-007
5.275,-1.63117e-007
5.276,-1.63406e-007
5.277,-1.63694e-007
5.278,-1.6398e-007
5.279,-1.64263e-007
5.28,-1.64545e-007
5.281,-1.64826e-007
5.282,-1.65104e-007
5.283,-1.65381e-007
5.284,-1.65656e-007
5.285,-1.6593e-007
5.286,-1.66201e-007
5.287,-1.66471e-007
5.288,-1.66739e-007
5.289,-1.67006e-007
5.29,-1.67271e-007
5.291,-1.67534e-007
5.292,-1.67795e-007
5.293,-1.68054e-007
5.294,-1.68312e-007
5.295,-1.68568e-007
5.296,-1.68822e-007
5.297,-1.69075e-007
5.298,-1.69326e-007
5.299,-1.69575e-007
5.3,-1.69822e-007
5.301,-1.70068e-007
5.302,-1.70312e-007
5.303,-1.70554e-007
5.304,-1.70795e-007
5.305,-1.71034e-007
5.306,-1.71271e-007
5.307,-1.71507e-007
5.308,-1.7174e-007
5.309,-1.71972e-007
5.31,-1.72203e-007
5.311,-1.72432e-007
5.312,-1.72659e-007
5.313,-1.72884e-007
5.314,-1.73108e-007
5.315,-1.7333e-007
5.316,-1.7355e-007
5.317,-1.73768e-007
5.318,-1.73985e-007
5.319,-1.74201e-007
5.32,-1.74414e-007
5.321,-1.74626e-007
5.322,-1.74836e-007
5.323,-1.75045e-007
5.324,-1.75252e-007
5.325,-1.75457e-007
5.326,-1.75661e-007
5.327,-1.75863e-007
5.328,-1.76063e-007
5.329,-1.76261e-007
5.33,-1.76458e-007
5.331,-1.76654e-007
5.332,-1.76847e-007
5.333,-1.77039e-007
5.334,-1.7723e-007
5.335,-1.77418e-007
5.336,-1.77605e-007
5.337,-1.77791e-007
5.338,-1.77975e-007
5.339,-1.78157e-007
5.34,-1.78337e-007
5.341,-1.78516e-007
5.342,-1.78694e-007
5.343,-1.78869e-007
5.344,-1.79043e-007
5.345,-1.79216e-007
5.346,-1.79387e-007
5.347,-1.79556e-007
5.348,-1.79723e-007
5.349,-1.79889e-007
5.35,-1.80054e-007
5.351,-1.80216e-007
5.352,-1.80377e-007
5.353,-1.80537e-007
5.354,-1.80695e-007
5.355,-1.80851e-007
5.356,-1.81006e-007
5.357,-1.81159e-007
5.358,-1.8131e-007
5.359,-1.8146e-007
5.36,-1.81609e-007
5.361,-1.81755e-007
5.362,-1.81901e-007
5.363,-1.82044e-007
5.364,-1.82186e-007
5.365,-1.82327e-007
5.366,-1.82465e-007
5.367,-1.82603e-007
5.368,-1.82738e-007
5.369,-1.82872e-007
5.37,-1.83005e-007
5.371,-1.83136e-007
5.372,-1.83265e-007
5.373,-1.83393e-007
5.374,-1.8352e-007
5.375,-1.83644e-007
5.376,-1.83767e-007
5.377,-1.83889e-007
5.378,-1.84009e-007
5.379,-1.84128e-007
5.38,-1.84245e-007
5.381,-1.8436e-007
5.382,-1.84474e-007
5.383,-1.84586e-007
5.384,-1.84697e-007
5.385,-1.84806e-007
5.386,-1.84914e-007
5.387,-1.8502e-007
5.388,-1.85125e-007
5.389,-1.85228e-007
5.39,-1.85329e-007
5.391,-1.85429e-007
5.392,-1.85528e-007
5.393,-1.85625e-007
5.394,-1.8572e-007
5.395,-1.85814e-007
5.396,-1.85907e-007
5.397,-1.85998e-007
5.398,-1.86087e-007
5.399,-1.86175e-007
5.4,-1.86262e-007
5.401,-1.86346e-007
5.402,-1.8643e-007
5.403,-1.86512e-007
5.404,-1.86592e-007
5.405,-1.86671e-007
5.406,-1.86748e-007
5.407,-1.86824e-007
5.408,-1.86899e-007
5.409,-1.86972e-007
5.41,-1.87043e-007
5.411,-1.87113e-007
5.412,-1.87182e-007
5.413,-1.87249e-007
5.414,-1.87314e-007
5.415,-1.87378e-007
5.416,-1.87441e-007
5.417,-1.87502e-007
5.418,-1.87562e-007
5.419,-1.8762e-007
5.42,-1.87676e-007
5.421,-1.87732e-007
5.422,-1.87785e-007
5.423,-1.87838e-007
5.424,-1.87889e-007
5.425,-1.87938e-007
5.426,-1.87986e-007
5.427,-1.88032e-007
5.428,-1.88077e-007
5.429,-1.88121e-007
5.43,-1.88163e-007
5.431,-1.88204e-007
5.432,-1.88243e-007
5.433,-1.88281e-007
5.434,-1.88317e-007
5.435,-1.88352e-007
5.436,-1.88386e-007
5.437,-1.88418e-007
5.438,-1.88449e-007
5.439,-1.88478e-007
5.44,-1.88506e-007
5.441,-1.88532e-007
5.442,-1.88557e-007
5.443,-1.88581e-007
5.444,-1.88603e-007
5.445,-1.88623e-007
5.446,-1.88643e-007
5.447,-1.88661e-007
5.448,-1.88677e-007
5.449,-1.88692e-007
5.45,-1.88706e-007
5.451,-1.88718e-007
5.452,-1.88729e-007
5.453,-1.88739e-007
5.454,-1.88747e-007
5.455,-1.88753e-007
5.456,-1.88759e-007
5.457,-1.88763e-007
5.458,-1.88765e-007
5.459,-1.88766e-007
5.46,-1.88766e-007
5.461,-1.88765e-007
5.462,-1.88762e-007
5.463,-1.88757e-007
5.464,-1.88751e-007
5.465,-1.88744e-007
5.466,-1.88736e-007
5.467,-1.88726e-007
5.468,-1.88715e-007
5.469,-1.88702e-007
5.47,-1.88688e-007
5.471,-1.88673e-007
5.472,-1.88656e-007
5.473,-1.88638e-007
5.474,-1.88619e-007
5.475,-1.88598e-007
5.476,-1.88576e-007
5.477,-1.88553e-007
5.478,-1.88528e-007
5.479,-1.88502e-007
5.48,-1.88475e-007
5.481,-1.88446e-007
5.482,-1.88416e-007
5.483,-1.88384e-007
5.484,-1.88351e-007
5.485,-1.88317e-007
5.486,-1.88282e-007
5.487,-1.88245e-007
5.488,-1.88207e-007
5.489,-1.88168e-007
5.49,-1.88127e-007
5.491,-1.88085e-007
5.492,-1.88041e-007
5.493,-1.87997e-007
5.494,-1.87951e-007
5.495,-1.87904e-007
5.496,-1.87855e-007
5.497,-1.87805e-007
5.498,-1.87754e-007
5.499,-1.87701e-007
5.5,-1.87647e-007
5.501,-1.87592e-007
5.502,-1.87536e-007
5.503,-1.87478e-007
5.504,-1.87419e-007
5.505,-1.87359e-007
5.506,-1.87297e-007
5.507,-1.87235e-007
5.508,-1.87171e-007
5.509,-1.87105e-007
5.51,-1.87038e-007
5.511,-1.8697e-007
5.512,-1.86901e-007
5.513,-1.86831e-007
5.514,-1.86759e-007
5.515,-1.86686e-007
5.516,-1.86612e-007
5.517,-1.86536e-007
5.518,-1.86459e-007
5.519,-1.86381e-007
5.52,-1.86302e-007
5.521,-1.86221e-007
5.522,-1.86139e-007
5.523,-1.86056e-007
5.524,-1.85972e-007
5.525,-1.85886e-007
5.526,-1.85799e-007
5.527,-1.85711e-007
5.528,-1.85622e-007
5.529,-1.85532e-007
5.53,-1.8544e-007
5.531,-1.85347e-007
5.532,-1.85252e-007
5.533,-1.85157e-007
5.534,-1.8506e-007
5.535,-1.84962e-007
5.536,-1.84863e-007
5.537,-1.84763e-007
5.538,-1.84661e-007
5.539,-1.84558e-007
5.54,-1.84454e-007
5.541,-1.84349e-007
5.542,-1.84243e-007
5.543,-1.84135e-007
5.544,-1.84026e-007
5.545,-1.83916e-007
5.546,-1.83805e-007
5.547,-1.83692e-007
5.548,-1.83578e-007
5.549,-1.83464e-007
5.55,-1.83347e-007
5.551,-1.8323e-007
5.552,-1.83112e-007
5.553,-1.82992e-007
5.554,-1.82871e-007
5.555,-1.82749e-007
5.556,-1.82626e-007
5.557,-1.82502e-007
5.558,-1.82376e-007
5.559,-1.82249e-007
5.56,-1.82122e-007
5.561,-1.81992e-007
5.562,-1.81862e-007
5.563,-1.81731e-007
5.564,-1.81598e-007
5.565,-1.81465e-007
5.566,-1.8133e-007
5.567,-1.81194e-007
5.568,-1.81056e-007
5.569,-1.80918e-007
5.57,-1.80778e-007
5.571,-1.80638e-007
5.572,-1.80496e-007
5.573,-1.80353e-007
5.574,-1.80209e-007
5.575,-1.80064e-007
5.576,-1.79917e-007
5.577,-1.7977e-007
5.578,-1.79621e-007
5.579,-1.79471e-007
5.58,-1.7932e-007
5.581,-1.79168e-007
5.582,-1.79015e-007
5.583,-1.78861e-007
5.584,-1.78705e-007
5.585,-1.78549e-007
5.586,-1.78391e-007
5.587,-1.78232e-007
5.588,-1.78073e-007
5.589,-1.77912e-007
5.59,-1.77749e-007
5.591,-1.77586e-007
5.592,-1.77422e-007
5.593,-1.77256e-007
5.594,-1.7709e-007
5.595,-1.76922e-007
5.596,-1.76753e-007
5.597,-1.76584e-007
5.598,-1.76413e-007
5.599,-1.76241e-007
5.6,-1.76068e-007
5.601,-1.75893e-007
5.602,-1.75718e-007
5.603,-1.75542e-007
5.604,-1.75364e-007
5.605,-1.75186e-007
5.606,-1.75006e-007
5.607,-1.74825e-007
5.608,-1.74644e-007
5.609,-1.74461e-007
5.61,-1.74277e-007
5.611,-1.74092e-007
5.612,-1.73906e-007
5.613,-1.73719e-007
5.614,-1.73531e-007
5.615,-1.73342e-007
5.616,-1.73151e-007
5.617,-1.7296e-007
5.618,-1.72768e-007
5.619,-1.72574e-007
5.62,-1.7238e-007
5.621,-1.72184e-007
5.622,-1.71988e-007
5.623,-1.7179e-007
5.624,-1.71592e-007
5.625,-1.71392e-007
5.626,-1.71191e-007
5.627,-1.70989e-007
5.628,-1.70787e-007
5.629,-1.70583e-007
5.63,-1.70378e-007
5.631,-1.70172e-007
5.632,-1.69965e-007
5.633,-1.69757e-007
5.634,-1.69549e-007
5.635,-1.69339e-007
5.636,-1.69128e-007
5.637,-1.68916e-007
5.638,-1.68703e-007
5.639,-1.68489e-007
5.64,-1.68274e-007
5.641,-1.68058e-007
5.642,-1.67841e-007
5.643,-1.67623e-007
5.644,-1.67404e-007
5.645,-1.67184e-007
5.646,-1.66963e-007
5.647,-1.66741e-007
5.648,-1.66518e-007
5.649,-1.66294e-007
5.65,-1.66069e-007
5.651,-1.65843e-007
5.652,-1.65616e-007
5.653,-1.65389e-007
5.654,-1.6516e-007
5.655,-1.6493e-007
5.656,-1.64699e-007
5.657,-1.64467e-007
5.658,-1.64235e-007
5.659,-1.64001e-007
5.66,-1.63766e-007
5.661,-1.63531e-007
5.662,-1.63294e-007
5.663,-1.63057e-007
5.664,-1.62818e-007
5.665,-1.62579e-007
5.666,-1.62338e-007
5.667,-1.62097e-007
5.668,-1.61855e-007
5.669,-1.61611e-007
5.67,-1.61367e-007
5.671,-1.61122e-007
5.672,-1.60876e-007
5.673,-1.60629e-007
5.674,-1.60381e-007
5.675,-1.60132e-007
5.676,-1.59882e-007
5.677,-1.59632e-007
5.678,-1.5938e-007
5.679,-1.59127e-007
5.68,-1.58874e-007
5.681,-1.58619e-007
5.682,-1.58364e-007
5.683,-1.58108e-007
5.684,-1.57851e-007
5.685,-1.57593e-007
5.686,-1.57334e-007
5.687,-1.57074e-007
5.688,-1.56813e-007
5.689,-1.56551e-007
5.69,-1.56289e-007
5.691,-1.56025e-007
5.692,-1.55761e-007
5.693,-1.55495e-007
5.694,-1.55229e-007
5.695,-1.54962e-007
5.696,-1.54694e-007
5.697,-1.54425e-007
5.698,-1.54155e-007
5.699,-1.53885e-007
5.7,-1.53613e-007
5.701,-1.53341e-007
5.702,-1.53068e-007
5.703,-1.52793e-007
5.704,-1.52518e-007
5.705,-1.52243e-007
5.706,-1.51966e-007
5.707,-1.51688e-007
5.708,-1.5141e-007
5.709,-1.5113e-007
5.71,-1.5085e-007
5.711,-1.50569e-007
5.712,-1.50287e-007
5.713,-1.50004e-007
5.714,-1.49721e-007
5.715,-1.49436e-007
5.716,-1.49151e-007
5.717,-1.48865e-007
5.718,-1.48578e-007
5.719,-1.4829e-007
5.72,-1.48001e-007
5.721,-1.47712e-007
5.722,-1.47421e-007
5.723,-1.4713e-007
5.724,-1.46838e-007
5.725,-1.46545e-007
5.726,-1.46251e-007
5.727,-1.45957e-007
5.728,-1.45661e-007
5.729,-1.45365e-007
5.73,-1.45068e-007
5.731,-1.44771e-007
5.732,-1.44472e-007
5.733,-1.44172e-007
5.734,-1.43872e-007
5.735,-1.43571e-007
5.736,-1.43269e-007
5.737,-1.42967e-007
5.738,-1.42663e-007
5.739,-1.42359e-007
5.74,-1.42054e-007
5.741,-1.41748e-007
5.742,-1.41441e-007
5.743,-1.41134e-007
5.744,-1.40826e-007
5.745,-1.40517e-007
5.746,-1.40207e-007
5.747,-1.39896e-007
5.748,-1.39585e-007
5.749,-1.39273e-007
5.75,-1.3896e-007
5.751,-1.38646e-007
5.752,-1.38332e-007
5.753,-1.38016e-007
5.754,-1.377e-007
5.755,-1.37384e-007
5.756,-1.37066e-007
5.757,-1.36748e-007
5.758,-1.36429e-007
5.759,-1.36109e-007
5.76,-1.35788e-007
5.761,-1.35467e-007
5.762,-1.35145e-007
5.763,-1.34822e-007
5.764,-1.34498e-007
5.765,-1.34174e-007
5.766,-1.33849e-007
5.767,-1.33523e-007
5.768,-1.33196e-007
5.769,-1.32869e-007
5.77,-1.32541e-007
5.771,-1.32212e-007
5.772,-1.31883e-007
5.773,-1.31552e-007
5.774,-1.31221e-007
5.775,-1.3089e-007
5.776,-1.30557e-007
5.777,-1.30224e-007
5.778,-1.2989e-007
5.779,-1.29556e-007
5.78,-1.2922e-007
5.781,-1.28884e-007
5.782,-1.28548e-007
5.783,-1.2821e-007
5.784,-1.27872e-007
5.785,-1.27533e-007
5.786,-1.27194e-007
5.787,-1.26853e-007
5.788,-1.26513e-007
5.789,-1.26171e-007
5.79,-1.25829e-007
5.791,-1.25485e-007
5.792,-1.25142e-007
5.793,-1.24797e-007
5.794,-1.24452e-007
5.795,-1.24106e-007
5.796,-1.2376e-007
5.797,-1.23413e-007
5.798,-1.23065e-007
5.799,-1.22716e-007
5.8,-1.22367e-007
5.801,-1.22017e-007
5.802,-1.21667e-007
5.803,-1.21316e-007
5.804,-1.20964e-007
5.805,-1.20611e-007
5.806,-1.20258e-007
5.807,-1.19904e-007
5.808,-1.1955e-007
5.809,-1.19195e-007
5.81,-1.18839e-007
5.811,-1.18482e-007
5.812,-1.18125e-007
5.813,-1.17767e-007
5.814,-1.17409e-007
5.815,-1.1705e-007
5.816,-1.1669e-007
5.817,-1.1633e-007
5.818,-1.15969e-007
5.819,-1.15607e-007
5.82,-1.15245e-007
5.821,-1.14882e-007
5.822,-1.14518e-007
5.823,-1.14154e-007
5.824,-1.1379e-007
5.825,-1.13424e-007
5.826,-1.13058e-007
5.827,-1.12692e-007
5.828,-1.12324e-007
5.829,-1.11956e-007
5.83,-1.11588e-007
5.831,-1.11219e-007
5.832,-1.10849e-007
5.833,-1.10479e-007
5.834,-1.10108e-007
5.835,-1.09736e-007
5.836,-1.09364e-007
5.837,-1.08992e-007
5.838,-1.08618e-007
5.839,-1.08244e-007
5.84,-1.0787e-007
5.841,-1.07495e-007
5.842,-1.07119e-007
5.843,-1.06743e-007
5.844,-1.06366e-007
5.845,-1.05988e-007
5.846,-1.0561e-007
5.847,-1.05232e-007
5.848,-1.04853e-007
5.849,-1.04473e-007
5.85,-1.04093e-007
5.851,-1.03712e-007
5.852,-1.0333e-007
5.853,-1.02948e-007
5.854,-1.02566e-007
5.855,-1.02182e-007
5.856,-1.01799e-007
5.857,-1.01414e-007
5.858,-1.0103e-007
5.859,-1.00644e-007
5.86,-1.00258e-007
5.861,-9.98718e-008
5.862,-9.94847e-008
5.863,-9.90971e-008
5.864,-9.8709e-008
5.865,-9.83203e-008
5.866,-9.79311e-008
5.867,-9.75413e-008
5.868,-9.71511e-008
5.869,-9.67602e-008
5.87,-9.63689e-008
5.871,-9.5977e-008
5.872,-9.55846e-008
5.873,-9.51916e-008
5.874,-9.47982e-008
5.875,-9.44042e-008
5.876,-9.40097e-008
5.877,-9.36146e-008
5.878,-9.32191e-008
5.879,-9.2823e-008
5.88,-9.24265e-008
5.881,-9.20294e-008
5.882,-9.16318e-008
5.883,-9.12337e-008
5.884,-9.08351e-008
5.885,-9.0436e-008
5.886,-9.00364e-008
5.887,-8.96363e-008
5.888,-8.92357e-008
5.889,-8.88346e-008
5.89,-8.84331e-008
5.891,-8.8031e-008
5.892,-8.76284e-008
5.893,-8.72254e-008
5.894,-8.68219e-008
5.895,-8.64178e-008
5.896,-8.60134e-008
5.897,-8.56084e-008
5.898,-8.5203e-008
5.899,-8.4797e-008
5.9,-8.43906e-008
5.901,-8.39838e-008
5.902,-8.35765e-008
5.903,-8.31687e-008
5.904,-8.27604e-008
5.905,-8.23517e-008
5.906,-8.19425e-008
5.907,-8.15329e-008
5.908,-8.11228e-008
5.909,-8.07123e-008
5.91,-8.03013e-008
5.911,-7.98898e-008
5.912,-7.94779e-008
5.913,-7.90656e-008
5.914,-7.86528e-008
5.915,-7.82396e-008
5.916,-7.78259e-008
5.917,-7.74118e-008
5.918,-7.69973e-008
5.919,-7.65823e-008
5.92,-7.61669e-008
5.921,-7.57511e-008
5.922,-7.53348e-008
5.923,-7.49181e-008
5.924,-7.4501e-008
5.925,-7.40835e-008
5.926,-7.36655e-008
5.927,-7.32472e-008
5.928,-7.28284e-008
5.929,-7.24092e-008
5.93,-7.19896e-008
5.931,-7.15695e-008
5.932,-7.11491e-008
5.933,-7.07283e-008
5.934,-7.0307e-008
5.935,-6.98854e-008
5.936,-6.94634e-008
5.937,-6.90409e-008
5.938,-6.86181e-008
5.939,-6.81949e-008
5.94,-6.77712e-008
5.941,-6.73472e-008
5.942,-6.69229e-008
5.943,-6.64981e-008
5.944,-6.60729e-008
5.945,-6.56474e-008
5.946,-6.52214e-008
5.947,-6.47951e-008
5.948,-6.43685e-008
5.949,-6.39414e-008
5.95,-6.3514e-008
5.951,-6.30862e-008
5.952,-6.2658e-008
5.953,-6.22295e-008
5.954,-6.18006e-008
5.955,-6.13713e-008
5.956,-6.09417e-008
5.957,-6.05117e-008
5.958,-6.00814e-008
5.959,-5.96507e-008
5.96,-5.92197e-008
5.961,-5.87883e-008
5.962,-5.83566e-008
5.963,-5.79245e-008
5.964,-5.74921e-008
5.965,-5.70593e-008
5.966,-5.66262e-008
5.967,-5.61928e-008
5.968,-5.5759e-008
5.969,-5.53249e-008
5.97,-5.48904e-008
5.971,-5.44556e-008
5.972,-5.40205e-008
5.973,-5.35851e-008
5.974,-5.31493e-008
5.975,-5.27133e-008
5.976,-5.22769e-008
5.977,-5.18401e-008
5.978,-5.14031e-008
5.979,-5.09658e-008
5.98,-5.05281e-008
5.981,-5.00901e-008
5.982,-4.96519e-008
5.983,-4.92133e-008
5.984,-4.87744e-008
5.985,-4.83352e-008
5.986,-4.78957e-008
5.987,-4.74559e-008
5.988,-4.70158e-008
5.989,-4.65754e-008
5.99,-4.61348e-008
5.991,-4.56938e-008
5.992,-4.52525e-008
5.993,-4.4811e-008
5.994,-4.43692e-008
5.995,-4.3927e-008
5.996,-4.34847e-008
5.997,-4.3042e-008
5.998,-4.2599e-008
5.999,-4.21558e-008
6,-4.17123e-008
6.001,-4.12685e-008
6.002,-4.08245e-008
6.003,-4.03802e-008
6.004,-3.99356e-008
6.005,-3.94908e-008
6.006,-3.90457e-008
6.007,-3.86004e-008
6.008,-3.81548e-008
6.009,-3.77089e-008
6.01,-3.72628e-008
6.011,-3.68164e-008
6.012,-3.63698e-008
6.013,-3.59229e-008
6.014,-3.54758e-008
6.015,-3.50284e-008
6.016,-3.45808e-008
6.017,-3.4133e-008
6.018,-3.36849e-008
6.019,-3.32366e-008
6.02,-3.27881e-008
6.021,-3.23393e-008
6.022,-3.18903e-008
6.023,-3.1441e-008
6.024,-3.09916e-008
6.025,-3.05419e-008
6.026,-3.0092e-008
6.027,-2.96418e-008
6.028,-2.91915e-008
6.029,-2.87409e-008
6.03,-2.82902e-008
6.031,-2.78392e-008
6.032,-2.7388e-008
6.033,-2.69366e-008
6.034,-2.64849e-008
6.035,-2.60331e-008
6.036,-2.55811e-008
6.037,-2.51289e-008
6.038,-2.46764e-008
6.039,-2.42238e-008
6.04,-2.3771e-008
6.041,-2.3318e-008
6.042,-2.28648e-008
6.043,-2.24114e-008
6.044,-2.19578e-008
6.045,-2.15041e-008
6.046,-2.10501e-008
6.047,-2.0596e-008
6.048,-2.01417e-008
6.049,-1.96872e-008
6.05,-1.92325e-008
6.051,-1.87777e-008
6.052,-1.83227e-008
6.053,-1.78675e-008
6.054,-1.74127e-008
6.055,-1.69567e-008
6.056,-1.6501e-008
6.057,-1.60451e-008
6.058,-1.55892e-008
6.059,-1.5133e-008
6.06,-1.46767e-008
6.061,-1.42202e-008
6.062,-1.37636e-008
6.063,-1.33068e-008
6.064,-1.28499e-008
6.065,-1.23929e-008
6.066,-1.19356e-008
6.067,-1.14783e-008
6.068,-1.10208e-008
6.069,-1.05632e-008
6.07,-1.01054e-008
